 5220
 15654
 10436
 15654

1 1 1  -1.179558 -0.977150 -9.881995
2 1 1  -1.574553 -1.281917 -9.791704
3 1 1  -1.116377 -1.541371 -9.817223
4 1 1  -0.757199 -1.193289 -9.899632
5 1 1  -0.541048 -1.623758 -9.852445
6 1 1  -0.265920 -1.145402 -9.930626
7 1 1  -0.034083 -1.623264 -9.867312
8 1 1  0.249340 -1.148543 -9.930694
9 1 1  0.496674 -1.603637 -9.858076
10 1 1  0.791543 -1.128716 -9.904517
11 1 1  0.996070 -1.686642 -9.806278
12 1 1  1.264512 -1.329043 -9.830293
13 1 1  -1.241015 -0.518714 -9.909128
14 1 1  -1.708709 -0.795370 -9.820779
15 1 1  -0.660789 -0.712331 -9.952685
16 1 1  -0.102771 -0.686671 -9.975867
17 1 1  0.432682 -0.679186 -9.967522
18 1 1  0.952054 -0.615181 -9.935550
19 1 1  1.779019 -1.271196 -9.758030
20 1 1  1.357702 -0.891064 -9.867251
21 1 1  1.888970 -0.777951 -9.789105
22 1 1  -1.247411 0.043727 -9.921797
23 1 1  -1.682336 -0.248749 -9.854333
24 1 1  -0.847891 -0.250201 -9.960847
25 1 1  -0.375714 -0.225755 -9.990389
26 1 1  0.114954 -0.205108 -9.997235
27 1 1  0.613144 -0.182849 -9.979510
28 1 1  1.127220 -0.121241 -9.935526
29 1 1  1.512511 -0.420947 -9.875987
30 1 1  -1.141724 0.564444 -9.918562
31 1 1  -1.648788 0.315658 -9.858086
32 1 1  -0.735708 0.244356 -9.969906
33 1 1  -0.248405 0.275410 -9.993120
34 1 1  0.256942 0.280684 -9.992757
35 1 1  0.762046 0.305478 -9.966242
36 1 1  1.272973 0.349027 -9.912503
37 1 1  1.680550 0.068436 -9.857539
38 1 1  -1.128442 1.068285 -9.878532
39 1 1  -1.603235 0.831048 -9.835598
40 1 1  -0.616034 0.753182 -9.952548
41 1 1  -0.078398 0.748811 -9.971617
42 1 1  0.434685 0.765330 -9.961191
43 1 1  0.929165 0.792057 -9.925185
44 1 1  1.409906 0.811230 -9.866817
45 1 1  1.808230 0.558710 -9.819274
46 1 1  -1.544895 1.347451 -9.787629
47 1 1  -0.729443 1.264724 -9.892845
48 1 1  -1.061887 1.659056 -9.804077
49 1 1  -0.262398 1.219915 -9.921842
50 1 1  0.232571 1.233112 -9.920955
51 1 1  0.734448 1.252821 -9.893989
52 1 1  1.761505 1.140488 -9.777340
53 1 1  1.241734 1.270011 -9.840994
54 1 1  -0.515662 1.718231 -9.837773
55 1 1  -0.001626 1.700914 -9.854283
56 1 1  0.518475 1.709279 -9.839184
57 1 1  1.046819 1.712481 -9.796509
58 1 1  -0.535645 -3.467769 -9.364169
59 1 1  -1.020393 -3.582011 -9.280517
60 1 1  -0.674041 -3.959892 -9.157780
61 1 1  -0.060171 -3.364291 -9.416896
62 1 1  -0.194178 -3.869283 -9.219053
63 1 1  0.472766 -3.355450 -9.408371
64 1 1  0.239777 -3.770050 -9.259008
65 1 1  0.698378 -3.836913 -9.208168
66 1 1  -1.743046 -2.877088 -9.417227
67 1 1  -2.247928 -3.007781 -9.268229
68 1 1  -1.875876 -3.364320 -9.228350
69 1 1  -1.223824 -2.756238 -9.534433
70 1 1  -1.372304 -3.235374 -9.362112
71 1 1  -0.857386 -3.071501 -9.477909
72 1 1  -0.371036 -2.954042 -9.546516
73 1 1  0.175823 -2.935316 -9.557877
74 1 1  0.975368 -3.406830 -9.351051
75 1 1  0.722985 -2.941909 -9.530082
76 1 1  1.246558 -2.976649 -9.464970
77 1 1  1.484958 -3.434580 -9.273541
78 1 1  1.760846 -3.000998 -9.375150
79 1 1  1.983472 -3.481580 -9.162120
80 1 1  2.240417 -3.058363 -9.253483
81 1 1  -1.999366 -2.027737 -9.585970
82 1 1  -2.624728 -2.633109 -9.283186
83 1 1  -2.139605 -2.522043 -9.437234
84 1 1  -1.646481 -2.387723 -9.570156
85 1 1  -1.171699 -2.296691 -9.661901
86 1 1  -0.690780 -2.536861 -9.648169
87 1 1  -0.117081 -2.517388 -9.677244
88 1 1  0.439396 -2.514432 -9.668742
89 1 1  0.999055 -2.527464 -9.623607
90 1 1  1.548937 -2.549809 -9.544594
91 1 1  2.092523 -2.569351 -9.435030
92 1 1  2.578289 -2.646121 -9.292495
93 1 1  2.454402 -2.138001 -9.455414
94 1 1  2.970985 -2.399244 -9.242125
95 1 1  -2.855271 -1.751059 -9.422379
96 1 1  -3.340636 -1.892042 -9.233652
97 1 1  -2.981437 -2.258235 -9.274233
98 1 1  -2.493808 -2.127853 -9.447389
99 1 1  -1.909495 -1.552185 -9.692500
100 1 1  -1.476100 -1.869854 -9.712094
101 1 1  -0.870772 -1.990352 -9.761160
102 1 1  -0.353916 -2.098603 -9.770906
103 1 1  0.191100 -2.068374 -9.781887
104 1 1  0.726846 -2.096353 -9.750743
105 1 1  1.294104 -2.120482 -9.686529
106 1 1  1.879340 -2.146717 -9.584346
107 1 1  2.111564 -1.710610 -9.623674
108 1 1  2.954141 -1.917386 -9.359310
109 1 1  -2.688602 -1.233087 -9.552535
110 1 1  -3.200217 -1.388310 -9.371831
111 1 1  -2.375195 -1.612612 -9.579036
112 1 1  -2.154774 -1.085229 -9.704598
113 1 1  1.577070 -1.735260 -9.721200
114 1 1  2.262753 -1.195007 -9.667053
115 1 1  2.589315 -1.595539 -9.526264
116 1 1  3.431425 -1.670263 -9.243135
117 1 1  3.055716 -1.382977 -9.420721
118 1 1  3.502531 -1.145633 -9.296225
119 1 1  -3.476383 -0.548816 -9.360212
120 1 1  -3.957876 -0.672712 -9.158749
121 1 1  -3.579619 -1.039794 -9.279287
122 1 1  -3.082261 -0.893975 -9.471034
123 1 1  -2.575703 -0.736738 -9.634468
124 1 1  -2.131155 -0.514636 -9.756707
125 1 1  2.381866 -0.686055 -9.687933
126 1 1  2.744177 -1.042597 -9.559419
127 1 1  2.891368 -0.526923 -9.558365
128 1 1  3.234850 -0.825057 -9.426294
129 1 1  -3.371443 -0.063726 -9.414314
130 1 1  -3.868016 -0.185940 -9.219755
131 1 1  -2.979006 -0.395956 -9.537754
132 1 1  -2.530341 -0.181020 -9.672880
133 1 1  -2.092341 0.055940 -9.778496
134 1 1  2.038121 -0.261490 -9.786607
135 1 1  2.518274 -0.195730 -9.675742
136 1 1  3.078889 -0.084864 -9.513845
137 1 1  3.466249 -0.390692 -9.371898
138 1 1  -3.337676 0.464990 -9.415078
139 1 1  -3.769873 0.251049 -9.258781
140 1 1  -2.929579 0.147680 -9.560113
141 1 1  -2.498518 0.383150 -9.675257
